,Norm True,Norm Predicted
0,0.0,0.258
1,0.003,0.332
2,0.005,0.315
3,0.01,0.315
4,0.012,0.3
5,0.016,0.328
6,0.02,0.309
7,0.023,0.335
8,0.025,0.355
9,0.028,0.335
10,0.035,0.327
11,0.038,0.321
12,0.041,0.349
13,0.042,0.382
14,0.047,0.373
15,0.053,0.373
16,0.055,0.346
17,0.058,0.355
18,0.062,0.39
19,0.064,0.405
20,0.066,0.404
21,0.072,0.405
22,0.077,0.366
23,0.084,0.329
24,0.087,0.34
25,0.087,0.35
26,0.09,0.412
27,0.093,0.406
28,0.096,0.415
29,0.099,0.417
30,0.103,0.42
31,0.106,0.434
32,0.109,0.446
33,0.111,0.463
34,0.116,0.473
35,0.117,0.462
36,0.121,0.499
37,0.121,0.523
38,0.126,0.549
39,0.127,0.563
40,0.129,0.596
41,0.129,0.645
42,0.13,0.663
43,0.133,0.689
44,0.137,0.703
45,0.142,0.675
46,0.147,0.668
47,0.147,0.672
48,0.149,0.72
49,0.149,0.734
50,0.153,0.741
51,0.156,0.738
52,0.158,0.726
53,0.161,0.709
54,0.165,0.697
55,0.167,0.661
56,0.17,0.673
57,0.172,0.677
58,0.174,0.685
59,0.175,0.693
60,0.179,0.701
61,0.181,0.663
62,0.185,0.653
63,0.188,0.659
64,0.189,0.642
65,0.191,0.667
66,0.192,0.676
67,0.193,0.668
68,0.194,0.698
69,0.197,0.696
70,0.197,0.689
71,0.198,0.696
72,0.198,0.725
73,0.199,0.732
74,0.2,0.708
75,0.201,0.7
76,0.201,0.681
77,0.203,0.693
78,0.203,0.703
79,0.204,0.712
80,0.204,0.758
81,0.205,0.771
82,0.207,0.773
83,0.208,0.77
84,0.21,0.771
85,0.211,0.773
86,0.217,0.764
87,0.219,0.741
88,0.222,0.72
89,0.225,0.732
90,0.225,0.745
91,0.226,0.763
92,0.231,0.766
93,0.233,0.763
94,0.237,0.751
95,0.24,0.73
96,0.246,0.719
97,0.247,0.704
98,0.251,0.706
99,0.254,0.701
100,0.256,0.693
101,0.261,0.68
102,0.263,0.686
103,0.263,0.685
104,0.267,0.7
105,0.269,0.693
106,0.27,0.701
107,0.271,0.718
108,0.273,0.702
109,0.277,0.708
110,0.279,0.684
111,0.28,0.671
112,0.283,0.687
113,0.284,0.689
114,0.287,0.688
115,0.287,0.678
116,0.29,0.681
117,0.291,0.695
118,0.292,0.68
119,0.293,0.679
120,0.293,0.707
121,0.293,0.723
122,0.294,0.752
123,0.294,0.747
124,0.295,0.747
125,0.296,0.749
126,0.297,0.756
127,0.297,0.768
128,0.298,0.784
129,0.3,0.781
130,0.301,0.754
131,0.301,0.755
132,0.301,0.766
133,0.301,0.746
134,0.3,0.748
135,0.3,0.748
136,0.3,0.734
137,0.3,0.747
138,0.302,0.713
139,0.302,0.698
140,0.303,0.709
141,0.304,0.71
142,0.305,0.658
143,0.306,0.624
144,0.308,0.588
145,0.309,0.593
146,0.31,0.619
147,0.31,0.644
148,0.311,0.67
149,0.312,0.691
150,0.313,0.701
151,0.313,0.729
152,0.313,0.727
153,0.314,0.747
154,0.313,0.739
155,0.314,0.727
156,0.316,0.72
157,0.319,0.718
158,0.32,0.694
159,0.321,0.7
160,0.323,0.739
161,0.324,0.749
162,0.325,0.762
163,0.329,0.754
164,0.334,0.715
165,0.336,0.7
166,0.337,0.696
167,0.339,0.696
168,0.342,0.674
169,0.344,0.644
170,0.347,0.625
171,0.348,0.658
172,0.35,0.657
173,0.355,0.64
174,0.356,0.645
175,0.357,0.671
176,0.362,0.678
177,0.363,0.67
178,0.366,0.69
179,0.37,0.702
180,0.371,0.709
181,0.372,0.717
182,0.375,0.733
183,0.377,0.73
184,0.379,0.74
185,0.38,0.74
186,0.383,0.759
187,0.385,0.743
188,0.391,0.734
189,0.394,0.723
190,0.395,0.716
191,0.401,0.725
192,0.404,0.694
193,0.408,0.675
194,0.41,0.676
195,0.413,0.656
196,0.415,0.649
197,0.418,0.636
198,0.421,0.634
199,0.422,0.612
200,0.425,0.599
201,0.428,0.609
202,0.43,0.601
203,0.432,0.613
204,0.435,0.602
205,0.439,0.613
206,0.44,0.631
207,0.441,0.65
208,0.443,0.676
209,0.446,0.663
210,0.45,0.668
211,0.452,0.679
212,0.453,0.67
213,0.455,0.717
214,0.456,0.728
215,0.46,0.737
216,0.464,0.729
217,0.466,0.707
218,0.472,0.699
219,0.474,0.707
220,0.475,0.714
221,0.478,0.731
222,0.479,0.731
223,0.484,0.715
224,0.488,0.693
225,0.491,0.674
226,0.493,0.678
227,0.495,0.713
228,0.496,0.713
229,0.497,0.719
230,0.501,0.731
231,0.503,0.721
232,0.504,0.712
233,0.506,0.714
234,0.507,0.694
235,0.508,0.693
236,0.509,0.703
237,0.51,0.701
238,0.51,0.709
239,0.51,0.719
240,0.51,0.733
241,0.51,0.739
242,0.51,0.748
243,0.51,0.729
244,0.51,0.749
245,0.51,0.774
246,0.51,0.782
247,0.51,0.792
248,0.509,0.795
249,0.508,0.797
250,0.507,0.791
251,0.505,0.754
252,0.505,0.735
253,0.504,0.747
254,0.504,0.766
255,0.503,0.762
256,0.502,0.785
257,0.501,0.792
258,0.501,0.764
259,0.5,0.778
260,0.497,0.754
261,0.494,0.723
262,0.493,0.685
263,0.492,0.671
264,0.49,0.673
265,0.489,0.676
266,0.488,0.691
267,0.487,0.711
268,0.485,0.723
269,0.483,0.704
270,0.481,0.698
271,0.48,0.692
272,0.479,0.719
273,0.479,0.737
274,0.476,0.754
275,0.475,0.752
276,0.473,0.752
277,0.472,0.78
278,0.471,0.8
279,0.469,0.782
280,0.467,0.783
281,0.466,0.798
282,0.461,0.775
283,0.458,0.752
284,0.454,0.726
285,0.451,0.72
286,0.449,0.716
287,0.447,0.73
288,0.442,0.731
289,0.441,0.709
290,0.438,0.712
291,0.438,0.748
292,0.437,0.743
293,0.434,0.761
294,0.431,0.743
295,0.43,0.726
296,0.426,0.717
297,0.425,0.702
298,0.423,0.693
299,0.419,0.7
300,0.418,0.684
301,0.417,0.71
302,0.416,0.741
303,0.415,0.749
304,0.412,0.74
305,0.411,0.737
306,0.41,0.745
307,0.408,0.739
308,0.406,0.753
309,0.406,0.744
