,Norm True,Norm Predicted
0,0.0,-0.0
1,0.002,-0.04
2,0.009,-0.039
3,0.012,-0.048
4,0.014,-0.076
5,0.02,-0.046
6,0.021,-0.04
7,0.024,-0.025
8,0.028,-0.042
9,0.031,-0.06
10,0.034,-0.054
11,0.038,-0.046
12,0.04,-0.027
13,0.041,0.001
14,0.047,-0.03
15,0.047,-0.02
16,0.053,-0.009
17,0.056,0.002
18,0.062,-0.002
19,0.065,-0.022
20,0.069,-0.013
21,0.07,-0.002
22,0.072,-0.008
23,0.079,-0.006
24,0.086,-0.009
25,0.087,-0.005
26,0.09,0.0
27,0.093,0.007
28,0.095,0.018
29,0.098,0.02
30,0.101,0.028
31,0.106,0.038
32,0.108,0.047
33,0.111,0.047
34,0.116,0.063
35,0.119,0.062
36,0.124,0.075
37,0.127,0.076
38,0.13,0.091
39,0.133,0.087
40,0.134,0.093
41,0.137,0.107
42,0.142,0.111
43,0.144,0.11
44,0.151,0.118
45,0.156,0.121
46,0.158,0.131
47,0.162,0.135
48,0.166,0.141
49,0.167,0.137
50,0.17,0.144
51,0.171,0.148
52,0.175,0.158
53,0.177,0.156
54,0.181,0.155
55,0.184,0.164
56,0.186,0.169
57,0.188,0.169
58,0.193,0.163
59,0.195,0.166
60,0.199,0.171
61,0.2,0.181
62,0.204,0.17
63,0.204,0.175
64,0.205,0.17
65,0.212,0.17
66,0.217,0.183
67,0.221,0.18
68,0.225,0.179
69,0.228,0.174
70,0.235,0.188
71,0.237,0.198
72,0.241,0.192
73,0.244,0.191
74,0.246,0.197
75,0.247,0.204
76,0.249,0.208
77,0.254,0.203
78,0.258,0.196
79,0.263,0.204
80,0.272,0.22
81,0.273,0.221
82,0.277,0.213
83,0.279,0.201
84,0.281,0.206
85,0.284,0.222
86,0.288,0.227
87,0.29,0.215
88,0.294,0.205
89,0.297,0.215
90,0.3,0.224
91,0.303,0.235
92,0.305,0.216
93,0.307,0.218
94,0.308,0.224
95,0.31,0.244
96,0.312,0.236
97,0.317,0.236
98,0.321,0.226
99,0.323,0.236
100,0.329,0.264
101,0.332,0.261
102,0.334,0.258
103,0.338,0.245
104,0.341,0.261
105,0.344,0.284
106,0.349,0.277
107,0.35,0.265
108,0.353,0.266
109,0.355,0.295
110,0.357,0.305
111,0.361,0.295
112,0.369,0.287
113,0.373,0.289
114,0.375,0.319
115,0.377,0.321
116,0.377,0.309
117,0.378,0.306
118,0.379,0.304
119,0.38,0.324
120,0.381,0.332
121,0.383,0.322
122,0.384,0.313
123,0.387,0.316
124,0.388,0.339
125,0.388,0.341
126,0.389,0.332
127,0.39,0.311
128,0.392,0.338
129,0.394,0.359
130,0.395,0.343
131,0.396,0.331
132,0.397,0.317
133,0.398,0.353
134,0.399,0.365
135,0.4,0.34
136,0.401,0.335
137,0.402,0.316
138,0.404,0.374
139,0.406,0.372
140,0.408,0.349
141,0.409,0.351
142,0.41,0.33
143,0.412,0.388
144,0.413,0.38
145,0.414,0.35
146,0.415,0.355
147,0.417,0.338
148,0.418,0.385
149,0.419,0.384
150,0.42,0.354
151,0.421,0.364
152,0.422,0.347
153,0.425,0.397
154,0.426,0.393
155,0.428,0.367
156,0.428,0.37
157,0.431,0.363
158,0.432,0.404
159,0.433,0.39
160,0.435,0.385
161,0.436,0.38
162,0.438,0.378
163,0.443,0.409
164,0.447,0.398
165,0.451,0.392
166,0.453,0.386
167,0.457,0.397
168,0.458,0.427
169,0.461,0.418
170,0.462,0.411
171,0.465,0.384
172,0.469,0.417
173,0.472,0.437
174,0.474,0.431
175,0.477,0.436
176,0.478,0.398
177,0.48,0.425
178,0.483,0.443
179,0.484,0.437
180,0.488,0.446
181,0.49,0.409
182,0.494,0.441
183,0.497,0.444
184,0.5,0.455
185,0.502,0.458
186,0.506,0.419
187,0.509,0.44
188,0.512,0.455
189,0.515,0.459
190,0.516,0.456
191,0.519,0.422
192,0.524,0.46
193,0.53,0.458
194,0.532,0.466
195,0.535,0.456
196,0.539,0.439
197,0.541,0.469
198,0.543,0.464
199,0.548,0.473
200,0.551,0.457
201,0.554,0.45
202,0.556,0.477
203,0.559,0.477
204,0.56,0.482
205,0.562,0.459
206,0.563,0.466
207,0.567,0.491
208,0.568,0.488
209,0.572,0.486
210,0.575,0.459
211,0.577,0.477
212,0.58,0.501
213,0.583,0.499
214,0.588,0.482
215,0.589,0.472
216,0.594,0.492
217,0.595,0.507
218,0.596,0.509
219,0.599,0.487
220,0.603,0.483
221,0.605,0.497
222,0.605,0.509
223,0.608,0.524
224,0.61,0.497
225,0.613,0.491
226,0.616,0.506
227,0.619,0.515
228,0.624,0.526
229,0.628,0.497
230,0.631,0.496
231,0.633,0.5
232,0.635,0.515
233,0.637,0.521
234,0.639,0.518
235,0.641,0.499
236,0.645,0.505
237,0.647,0.528
238,0.65,0.523
