,Norm True,Norm Predicted
0,0.0,0.089
1,0.003,0.072
2,0.006,0.069
3,0.007,0.058
4,0.014,0.059
5,0.016,0.062
6,0.02,0.062
7,0.022,0.069
8,0.024,0.079
9,0.026,0.084
10,0.028,0.087
11,0.029,0.09
12,0.033,0.085
13,0.036,0.087
14,0.039,0.098
15,0.041,0.095
16,0.044,0.098
17,0.047,0.105
18,0.048,0.105
19,0.052,0.112
20,0.055,0.111
21,0.057,0.119
22,0.059,0.122
23,0.062,0.128
24,0.064,0.131
25,0.064,0.131
26,0.069,0.136
27,0.07,0.139
28,0.076,0.145
29,0.077,0.147
30,0.079,0.145
31,0.084,0.152
32,0.084,0.16
33,0.085,0.163
34,0.088,0.163
35,0.092,0.162
36,0.096,0.163
37,0.102,0.171
38,0.103,0.175
39,0.107,0.181
40,0.108,0.185
41,0.113,0.187
42,0.115,0.19
43,0.12,0.196
44,0.121,0.193
45,0.127,0.199
46,0.131,0.202
47,0.136,0.207
48,0.137,0.211
49,0.141,0.214
50,0.143,0.22
51,0.145,0.223
52,0.148,0.229
53,0.15,0.231
54,0.151,0.234
55,0.153,0.235
56,0.155,0.237
57,0.157,0.24
58,0.16,0.244
59,0.161,0.245
60,0.165,0.248
61,0.168,0.255
62,0.172,0.254
63,0.175,0.258
64,0.178,0.265
65,0.18,0.269
66,0.181,0.271
67,0.183,0.276
68,0.184,0.277
69,0.188,0.28
70,0.189,0.282
71,0.193,0.284
72,0.196,0.286
73,0.201,0.287
74,0.204,0.291
75,0.207,0.296
76,0.208,0.301
77,0.209,0.303
78,0.211,0.303
79,0.214,0.307
80,0.216,0.307
81,0.221,0.309
82,0.224,0.312
83,0.228,0.316
84,0.231,0.319
85,0.235,0.323
86,0.238,0.327
87,0.24,0.333
88,0.241,0.335
89,0.245,0.337
90,0.247,0.34
91,0.249,0.347
92,0.251,0.349
93,0.252,0.351
94,0.252,0.353
95,0.255,0.353
96,0.256,0.354
97,0.259,0.357
98,0.261,0.361
99,0.262,0.362
100,0.265,0.368
101,0.266,0.367
102,0.27,0.371
103,0.272,0.376
104,0.273,0.374
105,0.278,0.379
106,0.281,0.384
107,0.283,0.387
108,0.287,0.389
109,0.29,0.392
110,0.291,0.395
111,0.297,0.398
112,0.3,0.398
113,0.305,0.404
114,0.306,0.407
115,0.31,0.411
116,0.312,0.414
117,0.315,0.417
118,0.32,0.418
119,0.326,0.422
120,0.328,0.424
121,0.331,0.428
122,0.335,0.431
123,0.337,0.436
124,0.338,0.437
125,0.339,0.439
126,0.343,0.439
127,0.344,0.444
128,0.346,0.444
129,0.35,0.45
130,0.351,0.45
131,0.356,0.451
132,0.358,0.453
133,0.36,0.452
134,0.364,0.455
135,0.37,0.456
136,0.378,0.463
137,0.381,0.468
138,0.382,0.47
139,0.384,0.475
140,0.384,0.475
141,0.387,0.475
142,0.388,0.477
143,0.392,0.476
144,0.394,0.476
145,0.395,0.476
146,0.398,0.477
147,0.401,0.483
148,0.403,0.482
149,0.407,0.485
150,0.409,0.485
151,0.41,0.491
152,0.411,0.491
153,0.412,0.491
154,0.412,0.488
155,0.417,0.489
156,0.418,0.494
157,0.419,0.494
158,0.422,0.498
159,0.424,0.5
160,0.427,0.499
161,0.432,0.497
162,0.44,0.501
163,0.444,0.504
164,0.448,0.512
165,0.451,0.512
166,0.455,0.514
167,0.459,0.516
168,0.462,0.524
169,0.464,0.522
170,0.466,0.527
