,Sine True,Sine Predicted,Cosine True,Cosine Predicted
0,0.0,0.014,-1.0,-0.054
1,-0.429,0.01,0.903,-0.041
2,-0.278,0.002,0.96,-0.022
3,-0.257,0.007,0.966,-0.012
4,-0.229,0.006,0.974,-0.015
5,-0.211,0.002,0.978,0.001
6,-0.172,-0.002,0.985,0.004
7,-0.154,-0.005,0.988,0.01
8,-0.151,-0.011,0.989,0.01
9,-0.152,-0.012,0.988,0.01
10,-0.159,-0.015,0.987,0.028
11,-0.176,-0.02,0.984,0.03
12,-0.182,-0.014,0.983,0.018
13,-0.188,-0.007,0.982,0.003
14,-0.194,-0.005,0.981,0.003
15,-0.208,-0.002,0.978,-0.003
16,-0.221,0.001,0.975,0.016
17,-0.232,-0.01,0.973,0.016
18,-0.251,-0.008,0.968,0.021
19,-0.27,-0.0,0.963,0.008
20,-0.277,0.001,0.961,0.013
21,-0.28,0.001,0.96,0.018
22,-0.281,-0.004,0.96,0.005
23,-0.288,-0.005,0.958,0.015
24,-0.301,-0.008,0.954,0.029
25,-0.308,-0.014,0.951,0.03
26,-0.313,-0.005,0.95,0.029
27,-0.315,-0.002,0.949,0.019
28,-0.326,-0.015,0.945,0.025
29,-0.328,0.001,0.945,0.017
30,-0.33,-0.009,0.944,0.027
31,-0.329,-0.012,0.944,0.025
32,-0.332,-0.012,0.943,0.026
33,-0.344,-0.004,0.939,0.022
34,-0.345,-0.006,0.938,0.017
35,-0.347,-0.002,0.938,0.009
36,-0.35,-0.006,0.937,0.012
37,-0.356,-0.016,0.934,0.017
38,-0.362,-0.008,0.932,0.015
39,-0.368,-0.011,0.93,0.033
40,-0.368,-0.008,0.93,0.013
41,-0.371,-0.009,0.929,0.018
42,-0.371,-0.003,0.929,0.015
43,-0.37,-0.006,0.929,0.013
44,-0.37,0.001,0.929,0.001
45,-0.371,-0.001,0.929,0.015
46,-0.376,-0.003,0.927,0.023
47,-0.376,0.002,0.927,0.014
48,-0.377,-0.004,0.926,0.012
49,-0.379,-0.007,0.925,0.006
50,-0.379,0.001,0.926,0.008
51,-0.379,0.002,0.925,-0.003
52,-0.381,0.0,0.925,-0.001
53,-0.383,-0.013,0.924,-0.007
54,-0.393,-0.004,0.919,0.024
55,-0.395,-0.006,0.919,0.007
56,-0.397,-0.006,0.918,0.015
57,-0.403,-0.001,0.915,0.005
58,-0.405,-0.009,0.914,0.003
59,-0.406,0.006,0.914,0.006
60,-0.407,-0.012,0.913,0.026
61,-0.411,-0.009,0.911,0.034
62,-0.412,-0.006,0.911,0.031
63,-0.412,-0.007,0.911,0.015
64,-0.412,-0.004,0.911,0.021
65,-0.414,-0.009,0.91,0.015
66,-0.415,-0.011,0.91,0.025
67,-0.414,0.006,0.91,0.003
68,-0.415,-0.012,0.91,0.018
69,-0.413,-0.006,0.911,0.021
70,-0.413,-0.009,0.911,0.022
71,-0.414,-0.004,0.91,0.021
72,-0.414,-0.005,0.91,0.026
73,-0.412,0.001,0.911,0.01
74,-0.411,-0.004,0.912,0.02
75,-0.408,-0.005,0.913,0.017
76,-0.407,-0.002,0.914,0.008
77,-0.406,-0.007,0.914,0.011
78,-0.405,0.0,0.914,0.005
79,-0.403,-0.006,0.915,0.001
80,-0.4,0.003,0.916,-0.0
81,-0.398,-0.003,0.917,-0.003
82,-0.396,-0.003,0.918,-0.004
83,-0.395,0.01,0.919,-0.022
84,-0.395,-0.011,0.919,0.008
85,-0.391,-0.007,0.92,0.002
86,-0.39,0.001,0.921,-0.001
87,-0.389,0.005,0.921,-0.011
88,-0.389,0.005,0.921,0.0
89,-0.388,0.002,0.922,-0.006
90,-0.386,-0.008,0.922,0.013
91,-0.382,-0.006,0.924,0.011
92,-0.379,-0.002,0.925,0.005
93,-0.375,0.001,0.927,-0.0
94,-0.372,0.007,0.928,-0.002
95,-0.366,-0.001,0.931,0.001
96,-0.358,-0.005,0.934,0.008
97,-0.348,-0.001,0.937,0.02
98,-0.346,-0.006,0.938,0.024
99,-0.338,-0.003,0.941,0.027
100,-0.338,-0.01,0.941,0.024
101,-0.337,-0.008,0.941,0.02
102,-0.333,-0.013,0.943,0.024
103,-0.328,-0.012,0.945,0.013
104,-0.327,-0.005,0.945,0.014
105,-0.321,-0.007,0.947,0.023
106,-0.32,-0.014,0.947,0.013
107,-0.314,-0.001,0.95,0.027
108,-0.306,-0.009,0.952,0.026
109,-0.302,-0.005,0.953,0.016
110,-0.297,-0.005,0.955,0.019
111,-0.296,0.002,0.955,0.007
112,-0.295,0.001,0.956,0.021
113,-0.291,-0.019,0.957,0.022
114,-0.29,-0.018,0.957,0.027
115,-0.282,-0.005,0.96,0.03
116,-0.278,-0.013,0.96,0.018
117,-0.277,-0.001,0.961,-0.0
118,-0.275,-0.004,0.961,0.004
