,Sine True,Sine Predicted,Cosine True,Cosine Predicted,Norm True,Norm Predicted
0,0.0,-0.06,-1.0,0.014,0.0,0.52
1,-0.76,-0.046,0.65,0.006,0.003,0.52
2,-0.757,-0.044,0.654,0.007,0.007,0.512
3,-0.765,-0.032,0.644,-0.004,0.008,0.525
4,-0.773,-0.018,0.634,-0.002,0.013,0.478
5,-0.772,-0.02,0.636,-0.0,0.013,0.472
6,-0.773,-0.02,0.635,0.001,0.015,0.493
7,-0.778,-0.019,0.628,-0.001,0.017,0.506
8,-0.778,-0.028,0.628,0.003,0.019,0.482
9,-0.779,-0.016,0.627,0.002,0.02,0.483
10,-0.787,-0.015,0.616,-0.007,0.021,0.518
11,-0.801,-0.006,0.598,-0.01,0.024,0.484
12,-0.819,-0.007,0.574,-0.006,0.028,0.488
13,-0.82,-0.0,0.572,-0.012,0.03,0.55
14,-0.831,0.019,0.557,-0.029,0.034,0.522
15,-0.818,0.03,0.576,-0.023,0.04,0.482
16,-0.807,0.015,0.59,-0.023,0.045,0.484
17,-0.806,0.021,0.592,-0.022,0.048,0.489
18,-0.805,0.03,0.593,-0.029,0.051,0.484
19,-0.797,0.016,0.603,-0.018,0.054,0.514
20,-0.796,0.016,0.606,-0.023,0.054,0.479
21,-0.793,0.009,0.609,-0.011,0.058,0.44
22,-0.788,0.012,0.615,-0.013,0.062,0.517
23,-0.782,0.02,0.623,-0.032,0.064,0.541
24,-0.766,0.017,0.642,-0.013,0.067,0.49
25,-0.757,0.023,0.653,-0.02,0.072,0.467
26,-0.75,0.027,0.661,-0.018,0.076,0.49
27,-0.743,0.032,0.67,-0.03,0.08,0.534
28,-0.737,0.028,0.675,-0.026,0.086,0.503
29,-0.733,0.03,0.68,-0.031,0.09,0.451
30,-0.732,0.036,0.682,-0.035,0.091,0.492
31,-0.726,0.042,0.688,-0.034,0.095,0.5
32,-0.72,0.029,0.694,-0.024,0.102,0.464
33,-0.719,0.015,0.695,-0.019,0.103,0.526
34,-0.717,0.02,0.698,-0.02,0.105,0.472
35,-0.716,0.028,0.698,-0.015,0.107,0.471
36,-0.715,0.017,0.699,-0.026,0.11,0.501
37,-0.71,0.018,0.704,-0.015,0.116,0.494
38,-0.71,0.01,0.704,-0.002,0.118,0.542
39,-0.711,0.015,0.704,-0.017,0.12,0.485
40,-0.71,0.015,0.704,-0.01,0.123,0.448
41,-0.71,0.018,0.705,-0.023,0.124,0.506
42,-0.71,0.016,0.704,-0.013,0.13,0.513
43,-0.712,0.007,0.702,-0.013,0.132,0.494
44,-0.713,-0.007,0.701,-0.003,0.132,0.477
45,-0.713,0.002,0.701,-0.001,0.133,0.481
46,-0.712,0.002,0.702,-0.009,0.136,0.52
47,-0.709,-0.01,0.705,0.003,0.14,0.498
48,-0.708,-0.012,0.706,-0.002,0.141,0.483
49,-0.705,-0.004,0.709,-0.0,0.143,0.469
50,-0.703,-0.001,0.711,0.002,0.147,0.499
51,-0.703,0.01,0.711,-0.019,0.149,0.525
52,-0.696,0.015,0.718,-0.024,0.155,0.519
53,-0.688,0.024,0.726,-0.026,0.161,0.47
54,-0.682,0.018,0.731,-0.028,0.163,0.486
55,-0.675,0.022,0.738,-0.023,0.167,0.476
56,-0.671,0.013,0.741,-0.013,0.169,0.477
57,-0.668,0.021,0.744,-0.029,0.171,0.559
58,-0.651,0.028,0.759,-0.029,0.178,0.47
59,-0.645,0.01,0.765,-0.018,0.181,0.491
60,-0.634,0.024,0.773,-0.024,0.185,0.468
61,-0.629,0.026,0.777,-0.03,0.188,0.481
62,-0.624,0.022,0.781,-0.026,0.191,0.528
63,-0.62,0.022,0.785,-0.025,0.194,0.485
64,-0.612,0.014,0.791,-0.021,0.197,0.494
65,-0.601,0.024,0.799,-0.023,0.201,0.49
66,-0.594,0.024,0.804,-0.023,0.203,0.467
67,-0.588,0.019,0.809,-0.02,0.204,0.492
68,-0.577,0.019,0.817,-0.016,0.208,0.496
69,-0.569,0.016,0.823,-0.013,0.21,0.517
70,-0.565,0.008,0.825,-0.015,0.21,0.493
71,-0.549,0.03,0.836,-0.023,0.213,0.507
72,-0.528,0.019,0.849,-0.019,0.217,0.474
73,-0.52,0.016,0.854,-0.022,0.218,0.52
74,-0.516,0.013,0.857,-0.013,0.219,0.477
75,-0.506,0.02,0.863,-0.019,0.221,0.45
76,-0.493,0.016,0.87,-0.016,0.223,0.503
77,-0.482,0.012,0.876,-0.024,0.225,0.526
78,-0.468,0.027,0.884,-0.022,0.227,0.491
79,-0.452,0.012,0.892,-0.018,0.229,0.439
80,-0.449,0.007,0.894,-0.012,0.23,0.503
81,-0.439,0.015,0.899,-0.006,0.232,0.497
82,-0.43,0.009,0.903,-0.008,0.233,0.524
83,-0.421,0.007,0.907,-0.018,0.235,0.495
84,-0.415,0.019,0.91,-0.015,0.237,0.464
85,-0.405,0.024,0.914,-0.024,0.24,0.493
86,-0.391,0.023,0.92,-0.018,0.245,0.5
87,-0.387,0.014,0.922,-0.019,0.246,0.511
88,-0.384,0.006,0.923,-0.007,0.247,0.462
89,-0.382,-0.003,0.924,-0.004,0.249,0.463
90,-0.38,0.013,0.925,-0.02,0.25,0.507
91,-0.376,0.005,0.927,-0.015,0.253,0.509
92,-0.367,0.011,0.93,-0.011,0.257,0.482
93,-0.363,0.012,0.932,-0.017,0.259,0.522
94,-0.352,0.021,0.936,-0.02,0.264,0.509
