,Norm True,Norm Predicted
0,0.0,0.066
1,0.004,0.075
2,0.006,0.068
3,0.01,0.068
4,0.013,0.084
5,0.015,0.078
6,0.017,0.081
7,0.02,0.09
8,0.024,0.09
9,0.027,0.101
10,0.029,0.09
11,0.03,0.091
12,0.035,0.102
13,0.036,0.092
14,0.038,0.075
15,0.041,0.085
16,0.047,0.113
17,0.049,0.122
18,0.052,0.128
19,0.055,0.114
20,0.056,0.116
21,0.058,0.119
22,0.063,0.122
23,0.063,0.115
24,0.068,0.132
25,0.072,0.145
26,0.073,0.132
27,0.073,0.141
28,0.074,0.144
29,0.08,0.131
30,0.085,0.129
31,0.09,0.143
32,0.093,0.172
33,0.097,0.175
34,0.099,0.189
35,0.1,0.177
36,0.103,0.165
37,0.108,0.174
38,0.109,0.165
39,0.112,0.16
40,0.118,0.195
41,0.119,0.185
42,0.12,0.173
43,0.124,0.181
44,0.127,0.185
45,0.129,0.177
46,0.133,0.184
47,0.137,0.2
48,0.139,0.188
49,0.142,0.191
50,0.147,0.182
51,0.153,0.211
52,0.156,0.217
53,0.159,0.196
54,0.16,0.211
55,0.163,0.219
56,0.165,0.21
57,0.167,0.193
58,0.172,0.214
59,0.172,0.216
60,0.174,0.208
61,0.177,0.238
62,0.18,0.222
63,0.182,0.234
64,0.185,0.238
65,0.188,0.251
66,0.189,0.247
67,0.19,0.248
68,0.19,0.247
69,0.193,0.25
70,0.198,0.247
71,0.201,0.24
72,0.202,0.237
73,0.204,0.244
74,0.207,0.239
75,0.209,0.241
76,0.212,0.247
77,0.216,0.252
78,0.219,0.261
79,0.222,0.265
80,0.224,0.256
81,0.228,0.271
82,0.229,0.258
83,0.232,0.262
84,0.233,0.276
85,0.234,0.279
86,0.236,0.245
87,0.243,0.267
88,0.246,0.282
89,0.248,0.286
90,0.25,0.267
91,0.25,0.28
92,0.252,0.28
93,0.254,0.284
94,0.256,0.291
95,0.258,0.286
96,0.259,0.283
97,0.262,0.309
98,0.266,0.323
99,0.268,0.309
100,0.27,0.312
101,0.272,0.328
102,0.277,0.334
103,0.279,0.325
104,0.283,0.315
105,0.288,0.333
106,0.29,0.313
107,0.292,0.32
108,0.294,0.326
109,0.296,0.317
110,0.3,0.328
111,0.304,0.338
112,0.308,0.341
113,0.31,0.363
114,0.314,0.366
115,0.315,0.35
116,0.32,0.355
117,0.324,0.353
118,0.327,0.342
119,0.331,0.352
120,0.337,0.346
121,0.343,0.356
122,0.345,0.366
123,0.347,0.371
124,0.348,0.353
125,0.351,0.351
126,0.352,0.332
127,0.354,0.336
128,0.356,0.344
129,0.359,0.343
130,0.36,0.348
131,0.362,0.337
132,0.366,0.365
133,0.367,0.333
134,0.372,0.348
135,0.373,0.359
136,0.379,0.346
137,0.382,0.361
138,0.384,0.359
139,0.386,0.348
140,0.389,0.369
141,0.394,0.375
142,0.398,0.395
143,0.4,0.385
144,0.402,0.372
145,0.405,0.387
146,0.406,0.396
147,0.41,0.39
148,0.413,0.388
149,0.414,0.402
150,0.418,0.404
151,0.421,0.402
152,0.421,0.405
153,0.422,0.409
154,0.425,0.395
155,0.429,0.408
156,0.429,0.407
157,0.43,0.407
158,0.434,0.409
159,0.436,0.409
160,0.438,0.429
161,0.441,0.426
162,0.442,0.444
163,0.444,0.436
164,0.448,0.453
165,0.452,0.466
166,0.453,0.479
167,0.454,0.474
168,0.455,0.481
169,0.457,0.465
170,0.46,0.473
171,0.464,0.468
172,0.466,0.471
173,0.469,0.488
174,0.472,0.506
175,0.475,0.501
176,0.476,0.491
177,0.478,0.505
178,0.479,0.516
179,0.484,0.515
180,0.486,0.503
181,0.489,0.513
182,0.491,0.508
183,0.493,0.515
184,0.495,0.506
185,0.496,0.502
186,0.497,0.489
187,0.499,0.504
188,0.504,0.517
189,0.507,0.505
190,0.511,0.516
191,0.512,0.544
192,0.513,0.547
193,0.515,0.541
194,0.519,0.54
195,0.52,0.542
196,0.522,0.538
197,0.525,0.552
198,0.527,0.562
199,0.528,0.584
200,0.529,0.582
