,Norm True,Norm Predicted
0,0.0,0.071
1,0.003,0.075
2,0.006,0.072
3,0.009,0.064
4,0.014,0.084
5,0.018,0.086
6,0.02,0.087
7,0.023,0.089
8,0.024,0.087
9,0.027,0.107
10,0.031,0.113
11,0.034,0.12
12,0.037,0.121
13,0.042,0.138
14,0.045,0.126
15,0.051,0.129
16,0.054,0.121
17,0.058,0.132
18,0.059,0.129
19,0.066,0.151
20,0.071,0.17
21,0.073,0.173
22,0.075,0.166
23,0.078,0.184
24,0.082,0.162
25,0.084,0.145
26,0.088,0.168
27,0.091,0.195
28,0.096,0.194
29,0.097,0.191
30,0.1,0.184
31,0.103,0.181
32,0.106,0.178
33,0.107,0.185
34,0.109,0.183
35,0.114,0.178
36,0.119,0.188
37,0.12,0.196
38,0.121,0.182
39,0.123,0.182
40,0.125,0.181
41,0.126,0.187
42,0.127,0.191
43,0.13,0.194
44,0.132,0.199
45,0.134,0.194
46,0.135,0.2
47,0.136,0.215
48,0.138,0.206
49,0.142,0.211
50,0.144,0.21
51,0.146,0.191
52,0.15,0.205
53,0.153,0.214
54,0.155,0.196
55,0.163,0.221
56,0.168,0.228
57,0.171,0.243
58,0.171,0.234
59,0.173,0.24
60,0.176,0.215
61,0.178,0.212
62,0.183,0.217
63,0.187,0.229
64,0.191,0.232
65,0.195,0.238
66,0.196,0.235
67,0.201,0.262
68,0.203,0.238
69,0.207,0.248
70,0.209,0.252
71,0.211,0.261
72,0.213,0.268
73,0.217,0.253
74,0.22,0.25
75,0.224,0.276
76,0.227,0.262
77,0.231,0.254
78,0.233,0.261
79,0.236,0.269
80,0.237,0.273
81,0.24,0.281
82,0.241,0.264
83,0.242,0.271
84,0.246,0.285
85,0.249,0.301
86,0.255,0.312
87,0.256,0.311
88,0.26,0.318
89,0.262,0.317
90,0.264,0.308
91,0.269,0.305
92,0.269,0.3
93,0.271,0.312
94,0.276,0.338
95,0.276,0.315
96,0.281,0.331
97,0.284,0.333
98,0.289,0.35
99,0.293,0.365
100,0.296,0.343
101,0.299,0.331
102,0.303,0.354
103,0.305,0.364
104,0.309,0.355
105,0.313,0.352
106,0.314,0.354
107,0.319,0.372
108,0.323,0.37
109,0.327,0.371
110,0.328,0.392
111,0.331,0.385
112,0.335,0.401
113,0.337,0.413
114,0.338,0.4
115,0.34,0.405
116,0.341,0.399
117,0.344,0.388
118,0.347,0.393
119,0.351,0.397
120,0.354,0.4
121,0.357,0.413
122,0.361,0.406
123,0.361,0.396
124,0.364,0.4
125,0.369,0.425
126,0.372,0.4
127,0.376,0.399
128,0.378,0.393
129,0.382,0.402
130,0.384,0.4
131,0.387,0.392
132,0.39,0.386
133,0.393,0.417
134,0.396,0.409
135,0.398,0.419
136,0.403,0.42
137,0.407,0.437
138,0.411,0.439
139,0.415,0.423
140,0.42,0.418
141,0.423,0.421
142,0.428,0.453
143,0.429,0.446
144,0.431,0.433
145,0.434,0.461
146,0.436,0.458
147,0.442,0.476
148,0.444,0.48
149,0.448,0.481
150,0.449,0.474
151,0.451,0.48
152,0.452,0.487
153,0.454,0.47
154,0.457,0.469
155,0.459,0.475
156,0.461,0.48
157,0.465,0.478
158,0.467,0.484
159,0.471,0.497
160,0.473,0.489
161,0.477,0.48
162,0.478,0.494
163,0.481,0.495
164,0.484,0.505
