,Norm True,Norm Predicted
0,0.0,0.148
1,0.006,0.165
2,0.01,0.143
3,0.011,0.126
4,0.013,0.104
5,0.014,0.114
6,0.018,0.121
7,0.023,0.138
8,0.028,0.128
9,0.03,0.109
10,0.03,0.095
11,0.033,0.108
12,0.039,0.113
13,0.042,0.107
14,0.043,0.107
15,0.047,0.101
16,0.054,0.139
17,0.059,0.132
18,0.062,0.108
19,0.063,0.098
20,0.071,0.122
21,0.075,0.146
22,0.077,0.151
23,0.079,0.121
24,0.081,0.134
25,0.082,0.147
26,0.084,0.164
27,0.085,0.144
28,0.089,0.16
29,0.092,0.156
30,0.095,0.159
31,0.104,0.161
32,0.107,0.143
33,0.113,0.175
34,0.114,0.156
35,0.115,0.157
36,0.117,0.154
37,0.117,0.17
38,0.119,0.145
39,0.121,0.155
40,0.126,0.159
41,0.13,0.161
42,0.136,0.156
43,0.137,0.123
44,0.141,0.155
45,0.145,0.155
46,0.148,0.156
47,0.155,0.168
48,0.16,0.168
49,0.161,0.151
50,0.163,0.157
51,0.168,0.179
52,0.171,0.165
53,0.174,0.168
54,0.178,0.188
55,0.179,0.169
56,0.181,0.171
57,0.186,0.192
58,0.189,0.176
59,0.191,0.179
60,0.195,0.182
61,0.197,0.172
62,0.201,0.183
63,0.203,0.193
64,0.205,0.209
65,0.209,0.208
66,0.213,0.233
67,0.217,0.226
68,0.22,0.212
69,0.222,0.205
70,0.226,0.198
71,0.227,0.207
72,0.228,0.215
73,0.23,0.215
74,0.235,0.233
75,0.237,0.228
76,0.239,0.225
77,0.241,0.223
78,0.243,0.235
79,0.247,0.248
80,0.249,0.226
81,0.255,0.242
82,0.259,0.235
83,0.261,0.238
84,0.263,0.233
85,0.266,0.229
86,0.27,0.249
87,0.272,0.244
88,0.275,0.248
89,0.28,0.247
90,0.281,0.25
91,0.284,0.265
92,0.287,0.239
93,0.289,0.254
94,0.292,0.266
95,0.297,0.295
96,0.298,0.263
97,0.301,0.279
98,0.303,0.254
99,0.307,0.276
100,0.309,0.244
101,0.31,0.262
102,0.31,0.245
103,0.313,0.289
104,0.315,0.293
105,0.319,0.302
106,0.321,0.298
107,0.324,0.304
108,0.326,0.315
109,0.33,0.337
110,0.332,0.33
111,0.332,0.316
112,0.334,0.33
113,0.336,0.341
114,0.336,0.327
115,0.338,0.325
116,0.34,0.306
117,0.34,0.302
118,0.343,0.325
119,0.345,0.326
120,0.346,0.327
121,0.347,0.332
122,0.349,0.359
123,0.351,0.346
124,0.354,0.353
125,0.356,0.345
126,0.358,0.334
127,0.359,0.356
128,0.361,0.361
129,0.362,0.373
130,0.365,0.389
131,0.367,0.383
132,0.369,0.384
133,0.372,0.363
134,0.374,0.358
135,0.376,0.364
136,0.381,0.368
137,0.383,0.373
138,0.386,0.403
139,0.387,0.387
140,0.391,0.4
141,0.392,0.396
142,0.394,0.415
143,0.396,0.428
144,0.4,0.439
145,0.403,0.417
146,0.404,0.428
147,0.405,0.431
148,0.407,0.42
149,0.408,0.448
150,0.409,0.454
151,0.41,0.454
152,0.41,0.457
153,0.41,0.457
154,0.41,0.464
155,0.41,0.431
156,0.41,0.434
157,0.41,0.434
158,0.41,0.465
159,0.411,0.477
160,0.411,0.492
161,0.412,0.49
162,0.413,0.487
163,0.414,0.489
164,0.416,0.504
165,0.417,0.508
166,0.42,0.483
167,0.421,0.482
168,0.421,0.458
169,0.424,0.494
170,0.426,0.5
171,0.429,0.512
172,0.431,0.504
173,0.433,0.502
174,0.435,0.477
175,0.436,0.5
176,0.437,0.491
177,0.437,0.482
178,0.441,0.5
179,0.442,0.479
180,0.445,0.499
181,0.446,0.479
182,0.449,0.527
183,0.45,0.487
184,0.454,0.553
185,0.456,0.52
186,0.458,0.537
187,0.462,0.545
188,0.464,0.52
189,0.466,0.532
190,0.467,0.542
191,0.468,0.549
192,0.469,0.555
193,0.471,0.574
194,0.473,0.564
195,0.474,0.562
196,0.476,0.541
197,0.478,0.539
198,0.479,0.538
199,0.48,0.562
200,0.483,0.56
201,0.484,0.577
202,0.484,0.58
203,0.484,0.59
204,0.486,0.597
205,0.486,0.593
206,0.488,0.605
207,0.491,0.617
208,0.494,0.593
209,0.494,0.582
210,0.495,0.569
211,0.496,0.587
212,0.497,0.599
213,0.498,0.61
214,0.499,0.588
215,0.502,0.591
216,0.502,0.588
217,0.503,0.58
218,0.504,0.589
219,0.504,0.573
220,0.505,0.591
221,0.506,0.622
222,0.506,0.629
223,0.507,0.629
224,0.507,0.635
225,0.507,0.617
226,0.508,0.632
227,0.509,0.625
228,0.51,0.649
229,0.512,0.63
230,0.514,0.672
231,0.515,0.658
232,0.519,0.684
233,0.52,0.664
234,0.522,0.684
235,0.524,0.689
236,0.525,0.697
237,0.527,0.711
238,0.529,0.7
239,0.534,0.729
240,0.535,0.714
241,0.539,0.705
242,0.541,0.687
243,0.544,0.69
244,0.546,0.702
245,0.548,0.724
246,0.551,0.726
247,0.552,0.726
248,0.553,0.734
249,0.556,0.738
250,0.559,0.729
251,0.561,0.725
252,0.564,0.714
253,0.564,0.711
254,0.565,0.736
255,0.567,0.743
256,0.569,0.732
257,0.571,0.728
258,0.576,0.748
